"","id","make","model","year","class","trans","drive","cyl","displ","fuel","hwy","cty"
"1",34839,"Acura","RDX 2WD",2015,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,3.5,"Premium",28,20
"2",34843,"Acura","RDX 4WD",2015,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,3.5,"Premium",27,19
"3",34771,"Audi","A3",2015,"Subcompact Cars","Auto(AM-S6)","Front-Wheel Drive",4,2,"Premium",33,23
"4",34710,"Audi","A3 quattro",2015,"Subcompact Cars","Auto(AM-S6)","All-Wheel Drive",4,1.8,"Premium",33,24
"5",34925,"Audi","A8",2015,"Midsize Cars","Automatic (S8)","All-Wheel Drive",8,4,"Premium",30,18
"6",34926,"Audi","A8",2015,"Midsize Cars","Automatic (S8)","All-Wheel Drive",6,3,"Premium",29,19
"7",34928,"Audi","A8 L",2015,"Large Cars","Automatic (S8)","All-Wheel Drive",8,4,"Premium",29,18
"8",34929,"Audi","A8 L",2015,"Large Cars","Automatic (S8)","All-Wheel Drive",12,6.3,"Premium",22,14
"9",34930,"Audi","A8 L",2015,"Large Cars","Automatic (S8)","All-Wheel Drive",6,3,"Diesel",36,24
"10",34931,"Audi","A8 L",2015,"Large Cars","Automatic (S8)","All-Wheel Drive",6,3,"Premium",29,19
"11",34924,"Audi","S8",2015,"Midsize Cars","Automatic (S8)","All-Wheel Drive",8,4,"Premium",27,17
"12",34664,"Audi","TT Coupe quattro",2015,"Subcompact Cars","Auto(AM-S6)","All-Wheel Drive",4,2,"Premium",31,22
"13",34663,"Audi","TT Roadster quattro",2015,"Two Seaters","Auto(AM-S6)","All-Wheel Drive",4,2,"Premium",31,22
"14",34851,"BMW","428i Convertible",2015,"Subcompact Cars","Automatic (S8)","Rear-Wheel Drive",4,2,"Premium",34,23
"15",34893,"BMW","428i Gran Coupe",2015,"Compact Cars","Automatic (S8)","Rear-Wheel Drive",4,2,"Premium",34,23
"16",34872,"BMW","435i Gran Coupe",2015,"Compact Cars","Automatic (S8)","Rear-Wheel Drive",6,3,"Premium",32,21
"17",34853,"BMW","528i",2015,"Midsize Cars","Automatic (S8)","Rear-Wheel Drive",4,2,"Premium",34,23
"18",34869,"BMW","640i Convertible",2015,"Subcompact Cars","Automatic (S8)","Rear-Wheel Drive",6,3,"Premium",31,20
"19",34852,"BMW","640i Coupe",2015,"Subcompact Cars","Automatic (S8)","Rear-Wheel Drive",6,3,"Premium",32,21
"20",34873,"BMW","640i Gran Coupe",2015,"Compact Cars","Automatic (S8)","Rear-Wheel Drive",6,3,"Premium",31,20
"21",34871,"BMW","640i xDrive Convertible",2015,"Subcompact Cars","Automatic (S8)","All-Wheel Drive",6,3,"Premium",29,20
"22",34870,"BMW","640i xDrive Coupe",2015,"Subcompact Cars","Automatic (S8)","All-Wheel Drive",6,3,"Premium",29,20
"23",34874,"BMW","640i xDrive Gran Coupe",2015,"Compact Cars","Automatic (S8)","All-Wheel Drive",6,3,"Premium",29,20
"24",34903,"BMW","650i Convertible",2015,"Subcompact Cars","Automatic (S8)","Rear-Wheel Drive",8,4.4,"Premium",25,17
"25",34902,"BMW","650i Coupe",2015,"Subcompact Cars","Automatic (S8)","Rear-Wheel Drive",8,4.4,"Premium",25,17
"26",34908,"BMW","650i Gran Coupe",2015,"Compact Cars","Automatic (S8)","Rear-Wheel Drive",8,4.4,"Premium",25,17
"27",34881,"BMW","650i xDrive Convertible",2015,"Subcompact Cars","Automatic (S8)","All-Wheel Drive",8,4.4,"Premium",24,16
"28",34880,"BMW","650i xDrive Coupe",2015,"Subcompact Cars","Automatic (S8)","All-Wheel Drive",8,4.4,"Premium",25,16
"29",34882,"BMW","650i xDrive Gran Coupe",2015,"Compact Cars","Automatic (S8)","All-Wheel Drive",8,4.4,"Premium",24,16
"30",34877,"BMW","740Ld xDrive",2015,"Large Cars","Automatic (S8)","All-Wheel Drive",6,3,"Diesel",31,23
"31",34883,"BMW","Alpina B6 Gran Coupe xDrive",2015,"Compact Cars","Automatic (S8)","All-Wheel Drive",8,4.4,"Premium",24,16
"32",34906,"BMW","M6 Convertible",2015,"Subcompact Cars","Manual 6-spd","Rear-Wheel Drive",8,4.4,"Premium",22,15
"33",34907,"BMW","M6 Convertible",2015,"Subcompact Cars","Auto(AM-S7)","Rear-Wheel Drive",8,4.4,"Premium",20,14
"34",34904,"BMW","M6 Coupe",2015,"Subcompact Cars","Manual 6-spd","Rear-Wheel Drive",8,4.4,"Premium",22,15
"35",34905,"BMW","M6 Coupe",2015,"Subcompact Cars","Auto(AM-S7)","Rear-Wheel Drive",8,4.4,"Premium",20,14
"36",34909,"BMW","M6 Gran Coupe",2015,"Compact Cars","Manual 6-spd","Rear-Wheel Drive",8,4.4,"Premium",22,15
"37",34910,"BMW","M6 Gran Coupe",2015,"Compact Cars","Auto(AM-S7)","Rear-Wheel Drive",8,4.4,"Premium",20,14
"38",34854,"BMW","X1 sDrive28i",2015,"Large Cars","Automatic (S8)","Rear-Wheel Drive",4,2,"Premium",34,23
"39",34833,"BMW","X1 xDrive28i",2015,"Large Cars","Automatic (S8)","All-Wheel Drive",4,2,"Premium",32,22
"40",34834,"BMW","X1 xDrive35i",2015,"Large Cars","Automatic (S6)","All-Wheel Drive",6,3,"Premium",27,18
"41",34835,"BMW","X3 sDrive 28i",2015,"Large Cars","Automatic (S8)","Rear-Wheel Drive",4,2,"Premium",28,21
"42",34887,"BMW","X3 xDrive28d",2015,"Small Sport Utility Vehicle 4WD","Automatic (S8)","All-Wheel Drive",4,2,"Diesel",34,27
"43",34844,"BMW","X3 xDrive28i",2015,"Small Sport Utility Vehicle 4WD","Automatic (S8)","All-Wheel Drive",4,2,"Premium",28,21
"44",34845,"BMW","X3 xDrive35i",2015,"Small Sport Utility Vehicle 4WD","Automatic (S8)","All-Wheel Drive",6,3,"Premium",26,19
"45",34795,"BMW","Z4 sDrive28i",2015,"Two Seaters","Automatic (S8)","Rear-Wheel Drive",4,2,"Premium",33,22
"46",34796,"BMW","Z4 sDrive28i",2015,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",4,2,"Premium",34,22
"47",34797,"BMW","Z4 sDrive35i",2015,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,3,"Premium",26,19
"48",34798,"BMW","Z4 sDrive35i",2015,"Two Seaters","Auto(AM-S7)","Rear-Wheel Drive",6,3,"Premium",24,17
"49",34799,"BMW","Z4 sDrive35is",2015,"Two Seaters","Auto(AM-S7)","Rear-Wheel Drive",6,3,"Premium",24,17
"50",34810,"Bentley","Continental GT",2015,"Compact Cars","Automatic (S8)","All-Wheel Drive",8,4,"Premium",25,15
"51",34923,"Bentley","Continental GT",2015,"Compact Cars","Automatic (S8)","All-Wheel Drive",12,6,"Premium or E85",21,12
